排名,电影名,上映时间,评分,票房,平均票价,场均人次,电影标签,出品地区
42,长安三万里,2023-07-08,9.4,182441,41.316296,19,"动画,历史",中国大陆
43,功夫瑜伽,2017-01-28,8.4,174868,38.17402,33,"动作,冒险,奇幻","中国大陆,印度"
44,飞驰人生,2019-02-05,8.8,172824,41.692364,25,"喜剧,动作",中国大陆
45,阿凡达,2010-01-04,9.4,171539,45.51828,22,"动作,科幻,冒险","美国,英国"
46,人生大事,2022-06-24,9.4,171259,40.256683,10,"剧情,家庭",中国大陆
47,烈火英雄,2019-08-01,9.4,170685,35.896545,19,"灾难,动作,剧情",中国大陆
48,阿凡达：水之道,2022-12-16,9.0,169804,50.156097,8,"科幻,动作,冒险",美国
49,侏罗纪世界2,2018-06-15,8.6,169591,35.697067,19,"动作,冒险,科幻",美国
50,寻龙诀,2015-12-18,9.1,167988,36.200695,40,"动作,冒险,奇幻",中国大陆
51,西游伏妖篇,2017-01-28,7.7,165207,39.149124,36,"喜剧,动作,奇幻",中国大陆
52,港囧,2015-09-25,8.4,161135,32.852345,40,"喜剧,爱情,动作",中国大陆
53,姜子牙,2020-10-01,8.3,160302,39.790684,19,"动画,动作,冒险",中国大陆
54,万里归途,2022-09-30,9.5,159325,41.96201,8,"剧情,战争",中国大陆
55,少年的你,2019-10-25,9.4,155826,36.217808,16,"爱情,青春,剧情",中国大陆
56,变形金刚5：最后的骑士,2017-06-23,7.5,155126,36.93777,23,"动作,冒险,科幻",美国
57,疯狂动物城,2016-03-04,9.5,153190,33.58069,28,"动画,动作,冒险",美国
58,熊出没·伴我“熊芯”,2023-01-22,9.2,149524,46.30252,19,"动画,喜剧,科幻",中国大陆
59,我和我的父辈,2021-09-30,9.5,147727,43.4587,16,剧情,中国大陆
60,魔兽,2016-06-08,9.0,146887,37.072163,25,"动作,冒险,奇幻",美国
61,复仇者联盟2：奥创纪元,2015-05-12,8.6,146118,39.999035,29,"科幻,动作,冒险",美国
62,夏洛特烦恼,2015-09-30,9.3,144475,32.15511,33,"喜剧,爱情",中国大陆
63,速度与激情：特别行动,2019-08-23,8.7,143495,35.66835,15,"动作,惊悚,犯罪",美国
64,送你一朵小红花,2020-12-31,9.2,143276,37.26934,12,"剧情,家庭",中国大陆
65,芳华,2017-12-15,9.0,142299,34.23472,25,"剧情,爱情,战争",中国大陆
66,侏罗纪世界,2015-06-10,9.1,141821,38.28785,33,"动作,冒险,科幻",美国
67,蜘蛛侠：英雄远征,2019-06-28,9.0,141767,35.90006,17,"动作,冒险,科幻",美国
